Protein identifier	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
DLFM10_02748|F1_PEN_9|gene-3|+|1138-2283|complete	blaCMY	CMY-2 family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	382	381	100.00	98.69	381	WP_063859858.1	class C beta-lactamase CMY-66	NF000191.1	CMY-2 family class C beta-lactamase
DLFM10_02761|F1_PEN_30|gene-7|-|3087-4145|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIALP	353	377	88.33	99.70	333	WP_001443153.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NF000185.2	BlaEC family class C beta-lactamase
DLFM10_02770|F15_ATM_8|gene-1|+|102-1004|complete	bla	class A beta-lactamase, subclass A2	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	301	NA	NA	NA	NA	NA	NA	NF012099.1	class A beta-lactamase, subclass A2
DLFM10_02776|F9_AMC_1|gene-6|-|2262-3395|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	99.20	377	WP_001443153.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NF000185.2	BlaEC family class C beta-lactamase
DLFM10_02824|F14_AMC_65|gene-4|+|1588-2721|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	98.41	377	WP_001336292.1	BlaEC family class C beta-lactamase	NF000185.2	BlaEC family class C beta-lactamase
DLFM10_02832|F14_AMC_76|gene-3|+|1371-2516|complete	blaCMY	CMY-2 family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	382	381	100.00	99.21	381	WP_000976514.1	class C beta-lactamase CMY-2	NF000191.1	CMY-2 family class C beta-lactamase
DLFM10_02837|F14_AMC_84|gene-4|+|1559-2704|complete	blaMIR	MIR family cephalosporin-hydrolyzing class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	382	381	100.00	99.48	381	WP_045418072.1	cephalosporin-hydrolyzing class C beta-lactamase MIR-3	NF000187.3	MIR family cephalosporin-hydrolyzing class C beta-lactamase
DLFM10_02844|F4_ATM_3|gene-1|-|298-1212|complete	blaCTX-M	class A extended-spectrum beta-lactamase CTX-M-115	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	EXACTP	305	291	100.00	100.00	291	WP_035895532.1	class A extended-spectrum beta-lactamase CTX-M-115	NF033089.1	CTX-M family class A extended-spectrum beta-lactamase
DLFM10_02887|F14_TET_9|gene-2|+|649-1791|complete	erm(F)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(F)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTP	381	266	100.00	100.00	266	WP_002682030.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(F)	NF012223.0	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(F)
DLFM10_02893|F14_TET_20|gene-3|-|1105-2607|complete	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIALP	501	639	78.25	99.80	500	WP_002586627.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM10_02904|F1_AMC_7|gene-5|+|2362-3495|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	98.94	377	WP_001443153.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NF000185.2	BlaEC family class C beta-lactamase
DLFM10_02909|F1_AMC_17|gene-7|-|3025-4158|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	98.67	377	WP_001443153.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NF000185.2	BlaEC family class C beta-lactamase
DLFM10_02926|F18_AMC_4|gene-6|+|4248-5381|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	98.94	377	WP_001443153.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NF000185.2	BlaEC family class C beta-lactamase
DLFM10_02927|F18_AMC_5|gene-5|-|2193-3338|complete	blaACT	ACT family cephalosporin-hydrolyzing class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	382	381	100.00	99.74	381	WP_017694683.1	cephalosporin-hydrolyzing class C beta-lactamase ACT-17	NF000385.4	ACT family cephalosporin-hydrolyzing class C beta-lactamase
DLFM10_02934|F2_TET_1|gene-2|-|666-1832|complete	tet(X)	tetracycline-inactivating monooxygenase Tet(X)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	389	388	100.00	99.48	388	WP_008651082.1	tetracycline-inactivating monooxygenase Tet(X)	NF033111.2	tetracycline-inactivating monooxygenase Tet(X)
DLFM10_02940|F2_TET_19|gene-1|+|361-1587|complete	tetA(P)	tetracycline efflux MFS transporter TetA(P)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	409	420	96.90	98.03	407	WP_012478244.1	tetracycline efflux MFS transporter TetA(P)	NF000043.1	tetracycline efflux MFS transporter TetA(P)
DLFM10_02951|F6_PEN_12|gene-6|-|1966-3099|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	97.61	377	WP_063610930.1	class C extended-spectrum beta-lactamase EC-15	NF000185.2	BlaEC family class C beta-lactamase
DLFM10_02957|F6_PEN_18|gene-2|-|342-1487|complete	blaACT	ACT family cephalosporin-hydrolyzing class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	382	381	100.00	99.21	381	WP_032652275.1	cephalosporin-hydrolyzing class C beta-lactamase ACT-74	NF000385.4	ACT family cephalosporin-hydrolyzing class C beta-lactamase
DLFM10_02960|F6_PEN_21|gene-3|-|533-1408|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	292	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM10_02973|F6_PEN_38|gene-2|-|350-1495|complete	blaCMY	CMY-2 family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	382	381	100.00	98.69	381	WP_063859763.1	class C beta-lactamase CMY-124	NF000191.1	CMY-2 family class C beta-lactamase
DLFM10_02981|F8_AMC_7|gene-6|-|2235-3368|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	97.61	377	WP_063610930.1	class C extended-spectrum beta-lactamase EC-15	NF000185.2	BlaEC family class C beta-lactamase
DLFM10_02991|F8_AMC_23|gene-3|+|1247-2392|complete	blaACT	ACT family cephalosporin-hydrolyzing class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	382	381	100.00	93.96	381	WP_039272978.1	cephalosporin-hydrolyzing class C beta-lactamase ACT-37	NF000385.4	ACT family cephalosporin-hydrolyzing class C beta-lactamase
DLFM10_03002|F17_PEN_21|gene-5|-|2065-3198|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	98.67	377	WP_001443153.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NF000185.2	BlaEC family class C beta-lactamase
DLFM10_03005|F17_PEN_25|gene-2|-|99-974|complete	blaCTX-M	class A extended-spectrum beta-lactamase CTX-M-3	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	EXACTP	292	291	100.00	100.00	291	WP_011091028.1	class A extended-spectrum beta-lactamase CTX-M-3	NF033089.1	CTX-M family class A extended-spectrum beta-lactamase
DLFM10_03013|F17_PEN_36|gene-2|-|378-1523|complete	blaACT	ACT family cephalosporin-hydrolyzing class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	382	381	100.00	98.69	381	WP_063857784.1	cephalosporin-hydrolyzing class C beta-lactamase ACT-7	NF000385.4	ACT family cephalosporin-hydrolyzing class C beta-lactamase
DLFM10_03014|F17_PEN_37|gene-5|+|1936-3081|complete	blaCMY	CMY-2 family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	382	381	100.00	98.69	381	WP_060682854.1	class C beta-lactamase CMY-49	NF000191.1	CMY-2 family class C beta-lactamase
DLFM10_03015|F17_PEN_38|gene-5|-|3380-4252|complete	blaOXY	OXY-5 family class A extended-spectrum beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	291	290	100.00	95.52	290	WP_009652647.1	class A extended-spectrum beta-lactamase OXY-5-2	NF000271.2	OXY family class A extended-spectrum beta-lactamase
DLFM10_03031|F3_TET_28|gene-1|-|273-2192|complete	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	98.28	639	WP_011860841.1	tetracycline resistance ribosomal protection protein Tet(M)	NF012155.1	tetracycline resistance ribosomal protection protein Tet(M)
DLFM10_03051|F22_ATM_9|gene-2|+|203-1348|complete	blaCMY	CMY-2 family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	382	381	100.00	99.48	381	WP_044699195.1	class C beta-lactamase CMY-48	NF000191.1	CMY-2 family class C beta-lactamase
DLFM10_03053|F4_TET_2|gene-1|-|164-2083|complete	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	640	639	100.00	100.00	639	WP_063856405.1	tetracycline resistance ribosomal protection protein Tet(O)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM10_03054|F4_TET_4|gene-3|-|647-1873|complete	tetA(P)	tetracycline efflux MFS transporter TetA(P)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	409	420	96.90	97.79	407	WP_003479690.1	tetracycline efflux MFS transporter TetA(P)	NF000043.1	tetracycline efflux MFS transporter TetA(P)
DLFM10_03055|F4_TET_5|gene-1|-|5-1924|complete	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.53	639	WP_002414694.1	tetracycline resistance ribosomal protection protein Tet(M)	NF012155.1	tetracycline resistance ribosomal protection protein Tet(M)
DLFM10_03069|F1_TET_11|gene-3|+|1646-3565|complete	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.06	639	WP_002586627.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM10_03079|F7_TET_4|gene-1|-|49-1968|complete	tet(32)	tetracycline resistance ribosomal protection protein Tet(32)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	97.81	639	WP_002602099.1	tetracycline resistance ribosomal protection protein Tet(32)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM10_03085|F19_PIP_1|gene-3|+|2278-3138|complete	blaTEM	TEM family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	287	286	100.00	99.65	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NF000531.2	TEM family class A beta-lactamase
DLFM10_03092|F19_PIP_12|gene-2|+|183-1316|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	98.94	377	WP_001443153.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NF000185.2	BlaEC family class C beta-lactamase
DLFM10_03096|F10_TET_6|gene-2|+|1109-2275|complete	tet(X)	tetracycline-inactivating monooxygenase Tet(X)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	389	388	100.00	98.97	388	WP_008651082.1	tetracycline-inactivating monooxygenase Tet(X)	NF033111.2	tetracycline-inactivating monooxygenase Tet(X)
DLFM10_03102|F10_TET_18|gene-3|-|1955-3049|complete	tet(Q)	tetracycline resistance ribosomal protection protein Tet(Q)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIALP	365	641	55.85	97.21	358	WP_063856407.1	tetracycline resistance ribosomal protection protein Tet(Q)	NF012154.0	tetracycline resistance ribosomal protection protein Tet(Q)
DLFM10_03107|F16_ATM_10|gene-2|-|556-1446|complete	cblA	CblA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	297	296	100.00	99.66	296	WP_005827792.1	CblA family class A beta-lactamase	NF033098.1	CblA family class A beta-lactamase
DLFM10_03121|F18_PEN_9|gene-2|-|1532-2377|complete	blaZ	penicillin-hydrolyzing class A beta-lactamase BlaZ	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	282	281	100.00	98.58	281	WP_000733274.1	penicillin-hydrolyzing class A beta-lactamase BlaZ	NF033139.1	penicillin-hydrolyzing class A beta-lactamase BlaZ
DLFM10_03121|F18_PEN_9|gene-3|+|2484-4241|complete	blaR1	beta-lactam sensor/signal transducer BlaR1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	586	585	100.00	98.63	585	WP_001096386.1	beta-lactam sensor/signal transducer BlaR1	NF033108.1	beta-lactam sensor/signal transducer BlaR1
DLFM10_03122|F18_PEN_10|gene-1|-|140-1285|complete	blaACT	ACT family cephalosporin-hydrolyzing class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	382	381	100.00	99.74	381	WP_017694683.1	cephalosporin-hydrolyzing class C beta-lactamase ACT-17	NF000385.4	ACT family cephalosporin-hydrolyzing class C beta-lactamase
DLFM10_03148|F18_PEN_44|gene-1|-|140-1273|complete	ampC	CMY2/MIR/ACT/EC family class c beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	378	NA	NA	NA	NA	NA	NA	NF012173.1	CMY2/MIR/ACT/EC family class c beta-lactamase
DLFM10_03151|F18_PEN_49|gene-8|-|3477-4610|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	98.94	377	WP_001443153.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NF000185.2	BlaEC family class C beta-lactamase
DLFM10_03161|F21_AMC_1|gene-2|-|625-1770|complete	blaACT	ACT family cephalosporin-hydrolyzing class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	382	381	100.00	99.48	381	WP_047364854.1	cephalosporin-hydrolyzing class C beta-lactamase ACT-70	NF000385.4	ACT family cephalosporin-hydrolyzing class C beta-lactamase
DLFM10_03164|F9_ATM_2|gene-4|-|1757-2671|complete	cblA	CblA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	305	296	100.00	95.95	296	WP_005827792.1	CblA family class A beta-lactamase	NF033098.1	CblA family class A beta-lactamase
DLFM10_03169|F15_PEN_8|gene-3|-|817-1950|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	97.08	377	WP_063610930.1	class C extended-spectrum beta-lactamase EC-15	NF000185.2	BlaEC family class C beta-lactamase
DLFM10_03176|F13_TET_5|gene-2|-|991-2910|complete	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	98.90	639	WP_002414694.1	tetracycline resistance ribosomal protection protein Tet(M)	NF012155.1	tetracycline resistance ribosomal protection protein Tet(M)
DLFM10_03178|F13_TET_10|gene-7|-|4889-5689|complete	erm(F)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(F)	core	AMR	AMR	MACROLIDE	MACROLIDE	BLASTP	267	266	100.00	99.25	266	WP_002682030.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(F)	NF012223.0	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(F)
DLFM10_03192|F13_TET_27|gene-1|-|469-2388|complete	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	99.84	99.37	638	WP_002586627.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM10_03207|F13_TET_59|gene-1|+|176-1438|complete	tetA(P)	tetracycline efflux MFS transporter TetA(P)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	421	420	100.00	99.76	420	WP_006440994.1	tetracycline efflux MFS transporter TetA(P)	NF000043.1	tetracycline efflux MFS transporter TetA(P)
DLFM10_03207|F13_TET_59|gene-2|+|1422-3380|complete	tetB(P)	tetracycline resistance ribosomal protection protein TetB(P)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	653	652	100.00	97.85	652	WP_012478245.1	tetracycline resistance ribosomal protection protein TetB(P)	NF012153.1	tetracycline resistance ribosomal protection protein
DLFM10_03244|F13_TET_110|gene-2|+|1065-2984|complete	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.53	639	WP_002586627.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM10_03255|F15_AMC_5|gene-2|-|423-1556|complete	ampC	CMY2/MIR/ACT/EC family class c beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	378	NA	NA	NA	NA	NA	NA	NF012173.1	CMY2/MIR/ACT/EC family class c beta-lactamase
DLFM10_03261|F20_TET_7|gene-2|-|354-1616|complete	tetA(P)	tetracycline efflux MFS transporter TetA(P)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	421	420	100.00	99.29	420	WP_003479690.1	tetracycline efflux MFS transporter TetA(P)	NF000043.1	tetracycline efflux MFS transporter TetA(P)
DLFM10_03264|F5_AMC_3|gene-3|-|789-1922|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	97.61	377	WP_001336292.1	BlaEC family class C beta-lactamase	NF000185.2	BlaEC family class C beta-lactamase
DLFM10_03265|F11_ATM_2|gene-3|-|932-1822|complete	cblA	CblA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	297	296	100.00	98.99	296	WP_005827792.1	CblA family class A beta-lactamase	NF033098.1	CblA family class A beta-lactamase
DLFM10_03299|F9_PEN_2|gene-3|+|3110-4024|complete	cblA	CblA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	305	296	100.00	95.95	296	WP_005827792.1	CblA family class A beta-lactamase	NF033098.1	CblA family class A beta-lactamase
DLFM10_03328|F14_PEN_38|gene-3|+|1060-1920|complete	blaSHV	class A beta-lactamase SHV-36	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTP	287	286	100.00	100.00	286	WP_063864678.1	class A beta-lactamase SHV-36	NF000285.3	SHV family class A beta-lactamase
DLFM10_03332|F14_PEN_43|gene-7|-|2319-3464|complete	blaCMY	CMY-2 family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	382	381	100.00	99.74	381	WP_000976514.1	class C beta-lactamase CMY-2	NF000191.1	CMY-2 family class C beta-lactamase
DLFM10_03336|F14_PEN_49|gene-4|-|2135-3013|complete	blaCKO	MAL/CKO family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	293	300	97.33	100.00	292	WP_063860833.1	MAL/CKO family class A beta-lactamase MAL-1	NF033103.1	class A beta-lactamase
DLFM10_03337|F14_PEN_50|gene-1|+|39-923|complete	blaSED	SED family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	295	294	100.00	90.82	294	WP_063842905.1	SED family class A beta-lactamase	NF000328.2	SED family class A beta-lactamase
DLFM10_03368|F14_PEN_100|gene-4|+|1614-2759|complete	blaMIR	MIR family cephalosporin-hydrolyzing class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	382	381	100.00	99.21	381	WP_045418072.1	cephalosporin-hydrolyzing class C beta-lactamase MIR-3	NF000187.3	MIR family cephalosporin-hydrolyzing class C beta-lactamase
DLFM10_03392|F13_ATM_17|gene-3|-|717-1622|complete	bla	class A beta-lactamase, subclass A2	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	302	NA	NA	NA	NA	NA	NA	NF012099.1	class A beta-lactamase, subclass A2
DLFM10_03398|F13_ATM_25|gene-3|-|1335-2237|complete	bla	class A beta-lactamase, subclass A2	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	301	NA	NA	NA	NA	NA	NA	NF012099.1	class A beta-lactamase, subclass A2
DLFM10_03401|F13_ATM_28|gene-2|+|2642-3532|complete	cblA	CblA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	297	296	100.00	98.99	296	WP_005827792.1	CblA family class A beta-lactamase	NF033098.1	CblA family class A beta-lactamase
DLFM10_03408|F13_ATM_40|gene-6|-|1886-3019|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	98.14	377	WP_001443153.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NF000185.2	BlaEC family class C beta-lactamase
DLFM10_03412|F17_PIP_4|gene-3|+|1358-2065|complete	blaOXY	OXY-5 family class A extended-spectrum beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIALP	236	290	70.34	99.51	204	WP_009652647.1	class A extended-spectrum beta-lactamase OXY-5-2	NF000271.2	OXY family class A extended-spectrum beta-lactamase
DLFM10_03423|F9_TET_6|gene-3|+|1205-3124|complete	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.84	639	WP_002586627.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM10_03433|F12_ATM_2|gene-2|+|2884-3798|complete	cblA	CblA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	305	296	100.00	99.66	296	WP_005827792.1	CblA family class A beta-lactamase	NF033098.1	CblA family class A beta-lactamase
DLFM10_03436|F12_ATM_9|gene-3|-|1284-2531|complete	blaACT	ACT family cephalosporin-hydrolyzing class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	416	381	100.00	99.74	381	WP_023295792.1	cephalosporin-hydrolyzing class C beta-lactamase ACT-15	NF000385.4	ACT family cephalosporin-hydrolyzing class C beta-lactamase
DLFM10_03449|F12_ATM_43|gene-2|-|993-1883|complete	bla	class A beta-lactamase, subclass A2	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	297	NA	NA	NA	NA	NA	NA	NF012099.1	class A beta-lactamase, subclass A2
DLFM10_03473|F2_AMC_39|gene-5|+|3005-4138|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	98.67	377	WP_001443153.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NF000185.2	BlaEC family class C beta-lactamase
DLFM10_03506|F18_TET_7|gene-5|-|4012-5931|complete	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	640	639	100.00	100.00	639	WP_001574275.1	tetracycline resistance ribosomal protection protein Tet(M)	NF012155.1	tetracycline resistance ribosomal protection protein Tet(M)
DLFM10_03530|F12_AMC_3|gene-3|-|1327-2574|complete	blaACT	ACT family cephalosporin-hydrolyzing class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	416	381	100.00	99.74	381	WP_023295792.1	cephalosporin-hydrolyzing class C beta-lactamase ACT-15	NF000385.4	ACT family cephalosporin-hydrolyzing class C beta-lactamase
DLFM10_03534|F12_AMC_13|gene-3|-|1067-2200|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	99.20	377	WP_001443153.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NF000185.2	BlaEC family class C beta-lactamase
DLFM10_03543|F19_ATM_11|gene-2|+|418-1551|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	98.67	377	WP_001443153.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NF000185.2	BlaEC family class C beta-lactamase
DLFM10_03557|F19_CAZ_2|gene-2|+|387-1520|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	98.67	377	WP_001443153.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NF000185.2	BlaEC family class C beta-lactamase
DLFM10_03562|F2_ATM_7|gene-2|-|457-1152|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIALP	232	377	54.91	99.52	207	WP_001443153.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NF000185.2	BlaEC family class C beta-lactamase
DLFM10_03567|F22_TET_5|gene-3|+|1014-2933|complete	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.84	639	WP_002586627.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM10_03576|F22_TET_15|gene-2|+|781-2700|complete	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.69	639	WP_012669445.1	tetracycline resistance ribosomal protection protein Tet(O)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM10_03584|F22_TET_26|gene-2|+|534-1700|complete	tet(X)	tetracycline-inactivating monooxygenase Tet(X)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	389	388	100.00	99.74	388	WP_008651082.1	tetracycline-inactivating monooxygenase Tet(X)	NF033111.2	tetracycline-inactivating monooxygenase Tet(X)
